column,grain,n,pct_zero,median,p95,max,skew,suggested_transform
Defendants_count,case,39415,0.0,1.0,7.0,2479.0,178.71,log1p or winsorize + scale
Defendants_counsels_count,case,39415,35.2,2.0,14.0,4731.0,160.25,log1p or winsorize + scale
plaintiffs_count,case,39415,0.0,1.0,5.0,1754.0,109.38,log1p or winsorize + scale
plaintiffs_counsels_count,case,39415,6.0,3.0,16.0,4135.0,69.37,log1p or winsorize + scale
Defendants_pending_counts,case,39415,92.4,0.0,1.0,151.0,35.94,robust scale / winsorize (log optional)
Defendants_terminated_counts,case,39415,95.9,0.0,0.0,212.0,34.97,robust scale / winsorize (log optional)
related_case_count,case,39415,98.9,0.0,0.0,9.0,24.08,robust scale / winsorize (log optional)
Defendants_share_pro_hac_vice,case,39415,99.4,0.0,0.0,1.0,15.15,no log — bounded share; standardize or keep raw
plaintiffs_share_pro_hac_vice,case,39415,99.5,0.0,0.0,1.0,14.73,no log — bounded share; standardize or keep raw
Defendants_share_pro_se,case,39415,95.8,0.0,0.0,1.0,5.26,no log — bounded share; standardize or keep raw
plaintiffs_share_pro_se,case,39415,87.7,0.0,1.0,1.0,2.58,no log — bounded share; standardize or keep raw
Other_courts,case,39415,86.9,0.0,1.0,1.0,2.19,no log — bounded share; standardize or keep raw
Defendants_share_ind,case,39415,54.4,0.0,1.0,1.0,0.53,no log — bounded share; standardize or keep raw
plaintiffs_share_ind,case,39415,58.1,0.0,1.0,1.0,0.48,no log — bounded share; standardize or keep raw
attribute_duplicates,event,1000000,0.0,1.0,1.0,64.0,25.38,robust scale / winsorize (log optional)
