sample,case_type,model,n_cases,n_test,mae_days,rmse_days,r2_test
all_cases,all,Decision Tree,168107,33622,218.4,344.1,0.2951
all_cases,all,Random Forest,168107,33622,210.8,324.2,0.3743
all_cases,all,XGBoost,168107,33622,212.6,339.9,0.312
all_cases,cv,Decision Tree,151640,30328,192.9,290.6,0.5099
all_cases,cv,Random Forest,151640,30328,184.4,272.1,0.5703
all_cases,cv,XGBoost,151640,30328,177.6,267.3,0.5854
all_cases,cr,Decision Tree,16467,3294,608.3,812.9,-3.1662
all_cases,cr,Random Forest,16467,3294,583.8,751.0,-2.5552
all_cases,cr,XGBoost,16467,3294,626.7,832.6,-3.3705
excl_mdl,all,Decision Tree,161407,32282,187.3,312.0,-0.0429
excl_mdl,all,Random Forest,161407,32282,181.1,291.4,0.0902
excl_mdl,all,XGBoost,161407,32282,187.8,322.2,-0.1119
excl_mdl,cv,Decision Tree,144940,28988,151.0,221.1,0.4428
excl_mdl,cv,Random Forest,144940,28988,144.1,206.4,0.5144
excl_mdl,cv,XGBoost,144940,28988,143.7,220.5,0.4459
excl_mdl,cr,Decision Tree,16467,3294,608.3,812.9,-3.1662
excl_mdl,cr,Random Forest,16467,3294,583.8,751.0,-2.5552
excl_mdl,cr,XGBoost,16467,3294,624.0,827.5,-3.3165
