sample,case_type,model,n_cases,r2,r2_adj
all_cases,all,M1_complexity_only,152102,0.4242,0.4242
all_cases,all,M2_with_case_controls,152102,0.4622,0.4621
all_cases,all,M3_with_judge_fe,152102,0.4733,0.4731
all_cases,cv,M1_complexity_only,138978,0.4092,0.4092
all_cases,cv,M2_with_case_controls,138978,0.4613,0.4613
all_cases,cv,M3_with_judge_fe,138978,0.4769,0.4766
all_cases,cr,M1_complexity_only,13083,0.5504,0.5503
all_cases,cr,M2_with_case_controls,13083,0.5505,0.5503
all_cases,cr,M3_with_judge_fe,13083,0.5591,0.5575
excl_mdl,all,M1_complexity_only,145405,0.4628,0.4628
excl_mdl,all,M2_with_case_controls,145405,0.4629,0.4628
excl_mdl,all,M3_with_judge_fe,145405,0.4746,0.4744
excl_mdl,cv,M1_complexity_only,132281,0.4664,0.4664
excl_mdl,cv,M2_with_case_controls,132281,0.4664,0.4664
excl_mdl,cv,M3_with_judge_fe,132281,0.483,0.4828
excl_mdl,cr,M1_complexity_only,13083,0.5504,0.5503
excl_mdl,cr,M2_with_case_controls,13083,0.5505,0.5503
excl_mdl,cr,M3_with_judge_fe,13083,0.5591,0.5575
