sample,case_type,complexity_feature,M3_coef_log_los,M3_p_value
all_cases,all,n_events,0.1723,3.03e-02
all_cases,all,n_activity_types,0.8336,2.65e-83
all_cases,all,n_motions,-0.0097,8.21e-01
all_cases,all,activity_entropy,0.0305,2.19e-01
all_cases,cv,n_events,0.0876,3.99e-01
all_cases,cv,n_activity_types,0.9121,1.26e-78
all_cases,cv,n_motions,0.0602,3.39e-01
all_cases,cv,activity_entropy,-0.1647,6.39e-09
all_cases,cr,n_events,0.5164,2.55e-10
all_cases,cr,n_activity_types,0.0768,1.10e-01
all_cases,cr,n_motions,-0.2337,1.97e-05
all_cases,cr,activity_entropy,1.4534,0.00e+00
excl_mdl,all,n_events,0.2296,4.21e-16
excl_mdl,all,n_activity_types,0.8184,0.00e+00
excl_mdl,all,n_motions,-0.0359,6.40e-02
excl_mdl,all,activity_entropy,0.0084,4.32e-01
excl_mdl,cv,n_events,0.1699,9.88e-25
excl_mdl,cv,n_activity_types,0.8967,0.00e+00
excl_mdl,cv,n_motions,0.0155,2.38e-01
excl_mdl,cv,activity_entropy,-0.201,1.74e-114
excl_mdl,cr,n_events,0.5164,2.55e-10
excl_mdl,cr,n_activity_types,0.0768,1.10e-01
excl_mdl,cr,n_motions,-0.2337,1.97e-05
excl_mdl,cr,activity_entropy,1.4534,0.00e+00
